"","Date","Experimental_leaf","Leaf_removal","ColonySize","Prop.new","Treatment","Colony","Week","Agegroup","IB_taken","Leaves_taken","Prop_PT","Set","EorN","ln_LeavesTaken","IB_prop","PT_taken","Year","Queen"
"101",20170711,"IB","IB removal",302,0.516556291390728,"Control","52503",5,"old",58,95,0.610526315789474,"II","Experienced",4.55387689160054,0.610526315789474,58,"2017","original"
"102",20170711,"IB","IB removal",341,0.392961876832845,"CHX","52504",5,"old",2,46,0.0434782608695652,"I","Experienced",3.8286413964891,0.0434782608695652,2,"2017","original"
"103",20170711,"IB","IB removal",436,0.743119266055046,"CHX","52501",5,"old",0,20,0,"I","Experienced",2.99573227355399,0,0,"2017","original"
"104",20170711,"IB","IB removal",483,0.954451345755694,"CHX","52001",5,"new",0,18,0,"I","Naive",2.89037175789616,0,0,"2017","original"
"105",20170711,"IB","IB removal",543,0.880294659300184,"Control","52002",5,"new",2,21,0.0952380952380952,"II","Naive",3.04452243772342,0.0952380952380952,2,"2017","original"
"106",20170711,"IB","IB removal",543,0.880294659300184,"Control","52002",5,"old",2,13,0.153846153846154,"II","Experienced",2.56494935746154,0.153846153846154,2,"2017","original"
"107",20170716,"IB","IB removal",355,0.129577464788732,"Control","62001",3,"old",113,214,0.52803738317757,"II","Experienced",5.36597601502185,0.52803738317757,113,"2017","original"
"108",20170716,"IB","IB removal",461,0.268980477223427,"CHX","62002",3,"old",0,62,0,"I","Experienced",4.12713438504509,0,0,"2017","original"
"109",20170716,"IB","IB removal",554,0.249097472924188,"Control","60601",3,"old",60,121,0.495867768595041,"II","Experienced",4.79579054559674,0.495867768595041,60,"2017","original"
"110",20170719,"IB","IB removal",96,0.208333333333333,"CHX","GreenTub",13,"old",0,20,0,"I","Experienced",2.99573227355399,0,0,"2017","original"
"111",20170719,"IB","IB removal",121,0.578512396694215,"CHX","31503",13,"new",0,1,0,"I","Naive",0,0,0,"2017","original"
"112",20170719,"IB","IB removal",121,0.578512396694215,"CHX","31503",13,"old",1,40,0.025,"I","Experienced",3.68887945411394,0.025,1,"2017","original"
"113",20170719,"IB","IB removal",225,0.88,"CHX","31501",13,"new",1,19,0.0526315789473684,"I","Naive",2.94443897916644,0.0526315789473684,1,"2017","requeened"
"114",20170719,"IB","IB removal",225,0.88,"CHX","31501",13,"old",1,17,0.0588235294117647,"I","Experienced",2.83321334405622,0.0588235294117647,1,"2017","requeened"
"115",20170719,"IB","IB removal",236,0.635593220338983,"CHX","31502",13,"new",0,3,0,"I","Naive",1.09861228866811,0,0,"2017","original"
"116",20170719,"IB","IB removal",236,0.635593220338983,"CHX","31502",13,"old",0,26,0,"I","Experienced",3.25809653802148,0,0,"2017","original"
"117",20170721,"IB","IB removal",24,0.958333333333333,"Control","51301",9,"new",0,18,0,"II","Naive",2.89037175789616,0,0,"2017","requeened"
"118",20170721,"IB","IB removal",66,0.772727272727273,"CHX","42002",9,"new",0,6,0,"I","Naive",1.79175946922805,0,0,"2017","requeened"
"119",20170721,"IB","IB removal",66,0.772727272727273,"CHX","42002",9,"old",0,13,0,"I","Experienced",2.56494935746154,0,0,"2017","requeened"
"120",20170721,"IB","IB removal",87,0.954022988505747,"Control","51302",9,"new",0,19,0,"II","Naive",2.94443897916644,0,0,"2017","original"
"121",20170721,"IB","IB removal",97,0.835051546391753,"CHX","21801",9,"new",0,22,0,"I","Naive",3.09104245335832,0,0,"2017","original"
"122",20170721,"IB","IB removal",97,0.835051546391753,"CHX","21801",9,"old",0,8,0,"I","Experienced",2.07944154167984,0,0,"2017","original"
"123",20170721,"IB","IB removal",107,0.897196261682243,"Control","51303",9,"new",15,59,0.254237288135593,"II","Naive",4.07753744390572,0.254237288135593,15,"2017","original"
"124",20170723,"IB","IB removal",15,0.866666666666667,"Control","41901",11,"new",6,26,0.230769230769231,"II","Naive",3.25809653802148,0.230769230769231,6,"2017","original"
"125",20170723,"IB","IB removal",15,0.866666666666667,"Control","41901",11,"old",2,4,0.5,"II","Experienced",1.38629436111989,0.5,2,"2017","original"
"126",20170723,"IB","IB removal",79,0.924050632911392,"Control","41902",11,"new",17,45,0.377777777777778,"II","Naive",3.80666248977032,0.377777777777778,17,"2017","original"
"127",20170723,"IB","IB removal",79,0.924050632911392,"Control","41902",11,"old",7,7,1,"II","Experienced",1.94591014905531,1,7,"2017","original"
"128",20170723,"IB","IB removal",179,0.927374301675978,"Control","42001",11,"new",4,54,0.0740740740740741,"II","Naive",3.98898404656427,0.0740740740740741,4,"2017","original"
"129",20170723,"IB","IB removal",179,0.927374301675978,"Control","42001",11,"old",0,1,0,"II","Experienced",0,0,0,"2017","original"
"130",20170725,"IB","IB removal",200,0.575,"CHX","52502",7,"new",0,16,0,"I","Naive",2.77258872223978,0,0,"2017","original"
"131",20170725,"IB","IB removal",200,0.575,"CHX","52502",7,"old",1,28,0.0357142857142857,"I","Experienced",3.3322045101752,0.0357142857142857,1,"2017","original"
"132",20170725,"IB","IB removal",200,0.705,"Control","52503",7,"new",23,68,0.338235294117647,"II","Naive",4.21950770517611,0.338235294117647,23,"2017","original"
"133",20170725,"IB","IB removal",200,0.705,"Control","52503",7,"old",3,5,0.6,"II","Experienced",1.6094379124341,0.6,3,"2017","original"
"134",20170725,"IB","IB removal",288,0.420138888888889,"CHX","52504",7,"new",0,2,0,"I","Naive",0.693147180559945,0,0,"2017","original"
"135",20170725,"IB","IB removal",288,0.420138888888889,"CHX","52504",7,"old",0,47,0,"I","Experienced",3.85014760171006,0,0,"2017","original"
"136",20170725,"IB","IB removal",358,1,"CHX","52001",7,"new",4,28,0.142857142857143,"I","Naive",3.3322045101752,0.142857142857143,4,"2017","original"
"137",20170725,"IB","IB removal",427,0.836065573770492,"CHX","52501",7,"new",1,57,0.0175438596491228,"I","Naive",4.04305126783455,0.0175438596491228,1,"2017","original"
"138",20170725,"IB","IB removal",427,0.836065573770492,"CHX","52501",7,"old",0,6,0,"I","Experienced",1.79175946922805,0,0,"2017","original"
"139",20170725,"IB","IB removal",428,0.957943925233645,"Control","52002",7,"new",0,18,0,"II","Naive",2.89037175789616,0,0,"2017","original"
"140",20170725,"IB","IB removal",428,0.957943925233645,"Control","52002",7,"old",0,6,0,"II","Experienced",1.79175946922805,0,0,"2017","original"
"141",20170730,"IB","IB removal",268,0.391791044776119,"Control","62001",5,"new",0,1,0,"II","Naive",0,0,0,"2017","original"
"142",20170730,"IB","IB removal",268,0.391791044776119,"Control","62001",5,"old",36,93,0.387096774193548,"II","Experienced",4.53259949315326,0.387096774193548,36,"2017","original"
"143",20170730,"IB","IB removal",415,0.580722891566265,"CHX","62002",5,"old",0,50,0,"I","Experienced",3.91202300542815,0,0,"2017","original"
"144",20170730,"IB","IB removal",424,0.507075471698113,"Control","60601",5,"new",3,17,0.176470588235294,"II","Naive",2.83321334405622,0.176470588235294,3,"2017","original"
"145",20170730,"IB","IB removal",424,0.507075471698113,"Control","60601",5,"old",25,67,0.373134328358209,"II","Experienced",4.20469261939097,0.373134328358209,25,"2017","original"
"146",20170802,"IB","IB removal",120,0.508333333333333,"CHX","GreenTub",15,"old",3,32,0.09375,"I","Experienced",3.46573590279973,0.09375,3,"2017","original"
"147",20170802,"IB","IB removal",153,0.725490196078431,"CHX","31503",15,"new",0,29,0,"I","Naive",3.36729582998647,0,0,"2017","original"
"148",20170802,"IB","IB removal",153,0.725490196078431,"CHX","31503",15,"old",0,14,0,"I","Experienced",2.63905732961526,0,0,"2017","original"
"149",20170802,"IB","IB removal",189,0.952380952380952,"CHX","31501",15,"new",3,55,0.0545454545454545,"I","Naive",4.00733318523247,0.0545454545454545,3,"2017","requeened"
"150",20170802,"IB","IB removal",189,0.952380952380952,"CHX","31501",15,"old",0,2,0,"I","Experienced",0.693147180559945,0,0,"2017","requeened"
"151",20170802,"IB","IB removal",244,0.811475409836066,"CHX","31502",15,"new",0,19,0,"I","Naive",2.94443897916644,0,0,"2017","original"
"152",20170802,"IB","IB removal",244,0.811475409836066,"CHX","31502",15,"old",0,27,0,"I","Experienced",3.29583686600433,0,0,"2017","original"
"153",20170804,"IB","IB removal",22,1,"Control","51301",11,"new",0,17,0,"II","Naive",2.83321334405622,0,0,"2017","requeened"
"154",20170804,"IB","IB removal",55,0.854545454545454,"CHX","42002",11,"new",1,7,0.142857142857143,"I","Naive",1.94591014905531,0.142857142857143,1,"2017","requeened"
"155",20170804,"IB","IB removal",55,0.854545454545454,"CHX","42002",11,"old",1,4,0.25,"I","Experienced",1.38629436111989,0.25,1,"2017","requeened"
"156",20170804,"IB","IB removal",90,0.988888888888889,"Control","51302",11,"new",23,50,0.46,"II","Naive",3.91202300542815,0.46,23,"2017","original"
"157",20170804,"IB","IB removal",90,0.988888888888889,"Control","51302",11,"old",3,3,1,"II","Experienced",1.09861228866811,1,3,"2017","original"
"158",20170804,"IB","IB removal",139,0.97841726618705,"CHX","21801",11,"new",4,47,0.0851063829787234,"I","Naive",3.85014760171006,0.0851063829787234,4,"2017","original"
"159",20170806,"IB","IB removal",12,0.916666666666667,"Control","41901",13,"new",4,15,0.266666666666667,"II","Naive",2.70805020110221,0.266666666666667,4,"2017","original"
"160",20170806,"IB","IB removal",12,0.916666666666667,"Control","41901",13,"old",4,8,0.5,"II","Experienced",2.07944154167984,0.5,4,"2017","original"
"161",20170806,"IB","IB removal",88,1,"Control","41902",13,"new",0,41,0,"II","Naive",3.71357206670431,0,0,"2017","original"
"162",20170806,"IB","IB removal",188,0.99468085106383,"Control","42001",13,"new",6,41,0.146341463414634,"II","Naive",3.71357206670431,0.146341463414634,6,"2017","original"
"163",20170808,"IB","IB removal",168,0.952380952380952,"Control","52503",9,"new",27,88,0.306818181818182,"II","Naive",4.47733681447821,0.306818181818182,27,"2017","original"
"164",20170808,"IB","IB removal",168,0.952380952380952,"Control","52503",9,"old",0,2,0,"II","Experienced",0.693147180559945,0,0,"2017","original"
"165",20170808,"IB","IB removal",202,0.856435643564356,"CHX","52504",9,"new",4,67,0.0597014925373134,"I","Naive",4.20469261939097,0.0597014925373134,4,"2017","original"
"166",20170808,"IB","IB removal",202,0.856435643564356,"CHX","52504",9,"old",1,7,0.142857142857143,"I","Experienced",1.94591014905531,0.142857142857143,1,"2017","original"
"167",20170808,"IB","IB removal",271,0.988929889298893,"CHX","52501",9,"new",2,78,0.0256410256410256,"I","Naive",4.35670882668959,0.0256410256410256,2,"2017","original"
"168",20170808,"IB","IB removal",282,0.826241134751773,"CHX","52502",9,"new",1,67,0.0149253731343284,"I","Naive",4.20469261939097,0.0149253731343284,1,"2017","original"
"169",20170808,"IB","IB removal",282,0.826241134751773,"CHX","52502",9,"old",0,8,0,"I","Experienced",2.07944154167984,0,0,"2017","original"
"170",20170808,"IB","IB removal",368,0.972826086956522,"Control","52002",9,"new",47,93,0.505376344086022,"II","Naive",4.53259949315326,0.505376344086022,47,"2017","original"
"171",20170813,"IB","IB removal",260,0.55,"Control","62001",7,"new",3,9,0.333333333333333,"II","Naive",2.19722457733622,0.333333333333333,3,"2017","original"
"172",20170813,"IB","IB removal",260,0.55,"Control","62001",7,"old",52,109,0.477064220183486,"II","Experienced",4.69134788222914,0.477064220183486,52,"2017","original"
