"","Colony","Week","Treatment","Agegroup_focal","Choice","EorN_focal","Forager_ID","Date.x","Decision_time","TouchIBtiny","TouchLStiny","Prop_exp","Num_tinies","X.x","Num_outbound_IB","Num_outbound_LS","Outbound_propIB","X.y","AgeGroup","timepoint","Date.y","Day","IB_taken","Total_Leaves","Source.x","Source.y","prev_IB_attempts","Prop_IB","TinyBinary","Choice_bin"
"42","31501",19,"CHX",7,"IB","Naive","IB9",20170830,1648.856,0,0,0,0,42,2,0,1,81,7,21,20170830,133,3,7,"Boris.og","Boris.og",10,0.428571428571429,"Absent",1
"43","31501",19,"CHX",8,"IB","Naive","IB4",20170830,377.237,0,0,0,0,40,0,2,0,85,8,21,20170830,133,5,30,"Boris.og","Boris.og",1,0.166666666666667,"Absent",1
"44","31501",19,"CHX",8,"LS","Naive","LS10",20170830,1719.139,0,0,0,0,43,1,0,1,85,8,21,20170830,133,5,30,"Boris.og","Boris.og",1,0.166666666666667,"Absent",0
"45","31501",19,"CHX",8,"LS","Naive","LS3",20170830,489.587,1,0,0,1,44,1,1,0.5,85,8,21,20170830,133,5,30,"Boris.og","Boris.og",1,0.166666666666667,"Preset",0
"46","31501",19,"CHX",8,"LS","Naive","LS6",20170830,1226.099,0,0,0,0,45,1,0,1,85,8,21,20170830,133,5,30,"Boris.og","Boris.og",1,0.166666666666667,"Absent",0
"47","31502",3,"CHX",1,"IB","Experienced","IB1",20170510,1432.734,0,0,1,0,46,0,1,0,94,1,5,20170510,21,2,44,"Boris.og","Boris.og",12,0.0454545454545455,"Absent",1
"48","31502",3,"CHX",1,"IB","Experienced","IB2",20170510,1529.132,0,0,0.75,0,47,0,0,NA,94,1,5,20170510,21,2,44,"Boris.og","Boris.og",12,0.0454545454545455,"Absent",1
"49","31502",3,"CHX",1,"LS","Experienced","LS5",20170510,1146.482,0,0,1,0,48,0,0,NA,94,1,5,20170510,21,2,44,"Boris.og","Boris.og",12,0.0454545454545455,"Absent",0
"50","31502",3,"CHX",1,"LS","Experienced","LS8",20170510,1513.878,0,0,0.8,0,49,0,1,0,94,1,5,20170510,21,2,44,"Boris.og","Boris.og",12,0.0454545454545455,"Absent",0
"51","31502",7,"CHX",1,"IB","Experienced","IB1",20170607,730.126,1,1,1,2,50,0,2,0,98,1,9,20170607,49,2,55,"Boris.og","Boris.og",17,0.0363636363636364,"Preset",1
"52","31502",7,"CHX",1,"LS","Experienced","LS10",20170607,1731.527,2,2,0.833333333333333,4,51,0,1,0,98,1,9,20170607,49,2,55,"Boris.og","Boris.og",17,0.0363636363636364,"Preset",0
